width,length,alpha,transparency,blur,distance
0.1,0.1,1,80,1,1.6
0.1,0.1,1,80,1,1.7
0.1,0.1,1,80,1,1.8
0.1,0.1,1,80,1,1.9
0.1,0.1,1,81,1,0.0
0.1,0.1,1,81,1,0.1
0.1,0.1,1,81,1,0.2
0.1,0.1,1,81,1,0.3
0.1,0.1,1,81,1,0.4
0.1,0.1,1,81,1,0.5
0.1,0.1,1,81,1,0.6
0.1,0.1,1,81,1,0.7
0.1,0.1,1,81,1,0.8
0.1,0.1,1,81,1,0.9
0.1,0.1,1,81,1,1.0
0.1,0.1,1,81,1,1.1
0.1,0.1,1,81,1,1.2
0.1,0.1,1,81,1,1.3
0.1,0.1,1,81,1,1.4
0.1,0.1,1,81,1,1.5
0.1,0.1,1,81,1,1.6
0.1,0.1,1,81,1,1.7
0.1,0.1,1,81,1,1.8
0.1,0.1,1,81,1,1.9
0.1,0.1,1,82,1,0.0
0.1,0.1,1,82,1,0.1
0.1,0.1,1,82,1,0.2
0.1,0.1,1,82,1,0.3
0.1,0.1,1,82,1,0.4
0.1,0.1,1,82,1,0.5
0.1,0.1,1,82,1,0.6
0.1,0.1,1,82,1,0.7
0.1,0.1,1,82,1,0.8
0.1,0.1,1,82,1,0.9
0.1,0.1,1,82,1,1.0
